año|localidad|quinquenio|poblacion|atendidos|indicador_atendidos
2023|3 - Santa Fe|45 a 49|5971|920|0.15407804387874727851
2023|4 - San Cristóbal|45 a 49|23500|1812|0.07710638297872340426
2023|5 - Usme|45 a 49|22662|4639|0.20470390962845291678
2023|6 - Tunjuelito|45 a 49|10372|1788|0.17238719629772464327
2023|7 - Bosa|45 a 49|45793|6092|0.13303343305745419606
2023|8 - Kennedy|45 a 49|69828|5687|0.08144297416509136736
2023|9 - Fontibón|45 a 49|27501|283|0.01029053488964037671
2023|10 - Engativá|50 a 54|49634|1815|0.03656767538380948543
2023|11 - Suba|50 a 54|80215|5475|0.06825406719441500966
2023|12 - Barrios Unidos|50 a 54|8978|108|0.01202940521274225885
2023|13 - Teusaquillo|50 a 54|9691|18|0.00185739345784748736
2023|14 - Los Mártires|50 a 54|4555|239|0.05246981339187705818
2023|15 - Antonio Nariño|50 a 54|4682|381|0.08137548056386159761
2023|16 - Puente Aranda|50 a 54|16016|340|0.02122877122877122877
2023|17 - La Candelaria|50 a 54|1155|115|0.09956709956709956710
2023|18 - Rafael Uribe Uribe|50 a 54|21755|2663|0.12240864169156515744
2023|19 - Ciudad Bolívar|50 a 54|34074|1890|0.05546751188589540412
2023|1 - Usaquén|50 a 54|35666|742|0.02080412717994728873
2023|20 - Sumapaz|50 a 54|248|128|0.51612903225806451613
2023|2 - Chapinero|50 a 54|10152|36|0.00354609929078014184
2023|3 - Santa Fe|50 a 54|5436|1008|0.18543046357615894040
2023|4 - San Cristóbal|50 a 54|22876|2167|0.09472809931806259836
2023|5 - Usme|50 a 54|21152|5205|0.24607602118003025719
2023|6 - Tunjuelito|50 a 54|10092|2051|0.20323028141101862862
2023|7 - Bosa|50 a 54|42674|6708|0.15719173267094718095
2023|8 - Kennedy|50 a 54|63703|6053|0.09501907288510745177
2023|9 - Fontibón|50 a 54|25829|309|0.01196329706918579891
2023|10 - Engativá|55 a 59|51654|2419|0.04683083594687729895
2023|11 - Suba|55 a 59|78576|6477|0.08242974954184483812
2023|12 - Barrios Unidos|55 a 59|9145|145|0.01585565882996172772
2023|13 - Teusaquillo|55 a 59|10570|18|0.00170293282876064333
2023|14 - Los Mártires|55 a 59|4569|258|0.05646749835850295469
2023|15 - Antonio Nariño|55 a 59|5070|452|0.08915187376725838264
2023|16 - Puente Aranda|55 a 59|17070|502|0.02940831868775629760
2023|17 - La Candelaria|55 a 59|1131|141|0.12466843501326259947
2023|18 - Rafael Uribe Uribe|55 a 59|21552|3239|0.15028767631774313289
2023|19 - Ciudad Bolívar|55 a 59|30999|2111|0.06809897093454627569
2023|1 - Usaquén|55 a 59|34643|875|0.02525762780359668620
2023|20 - Sumapaz|55 a 59|200|157|0.78500000000000000000
2023|2 - Chapinero|55 a 59|9859|66|0.00669439091185718633
2023|3 - Santa Fe|55 a 59|5210|1264|0.24261036468330134357
2023|4 - San Cristóbal|55 a 59|23117|2810|0.12155556516849072111
2023|5 - Usme|55 a 59|19778|5849|0.29573263221761553241
2023|6 - Tunjuelito|55 a 59|10206|2436|0.23868312757201646091
2023|7 - Bosa|55 a 59|38299|7574|0.19775973263009478054
2023|8 - Kennedy|55 a 59|59225|6800|0.11481637821865766146
2023|9 - Fontibón|55 a 59|25065|420|0.01675643327348892879
2023|10 - Engativá|60 a 64|45836|2725|0.05945108648224103325
2023|11 - Suba|60 a 64|68409|7483|0.10938619187533804032
2023|12 - Barrios Unidos|60 a 64|8641|151|0.01747482930216410138
2023|13 - Teusaquillo|60 a 64|10250|43|0.00419512195121951220
2023|14 - Los Mártires|60 a 64|3814|282|0.07393812270582066072
