año|localidad|quinquenio|poblacion|atendidos|indicador_atendidos
2023|18 - Rafael Uribe Uribe|45 a 49|23212|2232|0.09615716008960882302
2023|19 - Ciudad Bolívar|45 a 49|37407|1816|0.04854706338385863608
2023|1 - Usaquén|45 a 49|40142|697|0.01736336007174530417
2023|20 - Sumapaz|45 a 49|228|117|0.51315789473684210526
2023|2 - Chapinero|45 a 49|12516|51|0.00407478427612655801
2023|3 - Santa Fe|45 a 49|5971|919|0.15391056774409646625
2023|4 - San Cristóbal|45 a 49|23500|1809|0.07697872340425531915
2023|5 - Usme|45 a 49|22662|4649|0.20514517694819521666
2023|6 - Tunjuelito|45 a 49|10372|1792|0.17277284998071731585
2023|7 - Bosa|45 a 49|45793|6090|0.13298975825999606927
2023|8 - Kennedy|45 a 49|69828|5681|0.08135704874835309618
2023|9 - Fontibón|45 a 49|27501|281|0.01021781026144503836
2023|10 - Engativá|50 a 54|49634|1813|0.03652738042470886892
2023|11 - Suba|50 a 54|80215|5485|0.06837873215732718320
2023|12 - Barrios Unidos|50 a 54|8978|107|0.01191802183114279350
2023|13 - Teusaquillo|50 a 54|9691|18|0.00185739345784748736
2023|14 - Los Mártires|50 a 54|4555|239|0.05246981339187705818
2023|15 - Antonio Nariño|50 a 54|4682|381|0.08137548056386159761
2023|16 - Puente Aranda|50 a 54|16016|340|0.02122877122877122877
2023|17 - La Candelaria|50 a 54|1155|115|0.09956709956709956710
2023|18 - Rafael Uribe Uribe|50 a 54|21755|2662|0.12236267524706963916
2023|19 - Ciudad Bolívar|50 a 54|34074|1884|0.05529142454657510125
2023|1 - Usaquén|50 a 54|35666|745|0.02088824090169909718
2023|20 - Sumapaz|50 a 54|248|128|0.51612903225806451613
2023|2 - Chapinero|50 a 54|10152|36|0.00354609929078014184
2023|3 - Santa Fe|50 a 54|5436|1005|0.18487858719646799117
2023|4 - San Cristóbal|50 a 54|22876|2167|0.09472809931806259836
2023|5 - Usme|50 a 54|21152|5203|0.24598146747352496218
2023|6 - Tunjuelito|50 a 54|10092|2048|0.20293301625049544193
2023|7 - Bosa|50 a 54|42674|6702|0.15705113183671556451
2023|8 - Kennedy|50 a 54|63703|6049|0.09495628149380719903
2023|9 - Fontibón|50 a 54|25829|311|0.01204072941267567463
2023|10 - Engativá|55 a 59|51654|2418|0.04681147636194679986
2023|11 - Suba|55 a 59|78576|6470|0.08234066381592343718
2023|12 - Barrios Unidos|55 a 59|9145|146|0.01596500820120284308
2023|13 - Teusaquillo|55 a 59|10570|18|0.00170293282876064333
2023|14 - Los Mártires|55 a 59|4569|257|0.05624863208579557890
2023|15 - Antonio Nariño|55 a 59|5070|452|0.08915187376725838264
2023|16 - Puente Aranda|55 a 59|17070|502|0.02940831868775629760
2023|17 - La Candelaria|55 a 59|1131|141|0.12466843501326259947
2023|18 - Rafael Uribe Uribe|55 a 59|21552|3233|0.15000927988121752042
2023|19 - Ciudad Bolívar|55 a 59|30999|2115|0.06822800735507597019
2023|1 - Usaquén|55 a 59|34643|874|0.02522876194324971856
2023|20 - Sumapaz|55 a 59|200|157|0.78500000000000000000
2023|2 - Chapinero|55 a 59|9859|66|0.00669439091185718633
2023|3 - Santa Fe|55 a 59|5210|1270|0.24376199616122840691
2023|4 - San Cristóbal|55 a 59|23117|2808|0.12146904875200069213
2023|5 - Usme|55 a 59|19778|5841|0.29532814238042269188
